show_id,type,title,director,cast,country,date_added,release_year,rating,duration,description,year_added,month_added,genre,ISO
s15,TV Show,crime stories: india detectives,unknown,unknown,Unknown,2021-09-22,2021,TV-MA,1 Season,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,2021,September,British TV Shows,Unknown
s16,TV Show,dear white people,unknown,"logan browning, brandon p. bell, deron horton, antoinette robertson, john patrick amedori, ashley blaine featherson, marque richardson, giancarlo esposito",United States,2021-09-22,2021,TV-MA,4 Seasons,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",2021,September,TV Comedies,USA
s17,Movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",unknown,Unknown,2021-09-22,2020,TV-MA,67 min,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",2021,September,Documentaries,Unknown
s18,TV Show,falsa identidad,unknown,"luis ernesto franco, camila sodi, sergio goyri, samadhi zendejas, eduardo yáñez, sonya smith, alejandro camacho, azela robinson, uriel del toro, géraldine bazán, gabriela roel, marcus ornellas",Mexico,2021-09-22,2020,TV-MA,2 Seasons,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2021,September,Crime TV Shows,MEX
s19,Movie,intrusion,adam salky,"freida pinto, logan marshall-green, robert john burke, megan elisabeth kelly, sarah minnich, hayes hargrove, mark sivertsen, brandon fierro, antonio valles, clint obenchain",Unknown,2021-09-22,2021,TV-14,94 min,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021,September,Thrillers,Unknown
s20,TV Show,jaguar,unknown,"blanca suárez, iván marcos, óscar casas, adrián lastra, francesc garrido, stefan weinert, julia möller, alicia chojnowski",Unknown,2021-09-22,2021,TV-MA,1 Season,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",2021,September,International TV Shows,Unknown
s21,TV Show,monsters inside: the 24 faces of billy milligan,olivier megaton,unknown,Unknown,2021-09-22,2021,TV-14,1 Season,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",2021,September,Crime TV Shows,Unknown
s22,TV Show,resurrection: ertugrul,unknown,"engin altan düzyatan, serdar gökhan, hülya darcan, kaan taşaner, esra bilgiç, osman soykut, serdar deniz, cengiz coşkun, reshad strik, hande subaşı",Turkey,2021-09-22,2018,TV-14,5 Seasons,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",2021,September,International TV Shows,TUR
s23,Movie,avvai shanmughi,k.s. ravikumar,"kamal hassan, meena, gemini ganesan, heera rajgopal, nassar, s.p. balasubrahmanyam",Unknown,2021-09-21,1996,TV-PG,161 min,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021,September,Comedies,Unknown
s24,Movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore","maisie benson, paul killam, kerry gudjohnsen, ac lim",Unknown,2021-09-21,2021,TV-Y,61 min,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,September,Children & Family Movies,Unknown
s25,Movie,jeans,s. shankar,"prashanth, aishwarya rai bachchan, sri lakshmi, nassar",India,2021-09-21,1998,TV-14,166 min,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021,September,Comedies,IND
s26,TV Show,love on the spectrum,unknown,brooke satchwell,Australia,2021-09-21,2021,TV-14,2 Seasons,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2021,September,Docuseries,AUS
s27,Movie,minsara kanavu,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",Unknown,2021-09-21,1997,TV-PG,147 min,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021,September,Comedies,Unknown
s28,Movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",United States,2021-09-20,2010,PG-13,103 min,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021,September,Comedies,USA
s29,Movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",United States,2021-09-19,2013,PG-13,97 min,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021,September,Horror Movies,USA
s30,Movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan",United States,2021-09-19,2013,PG-13,106 min,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021,September,Thrillers,USA
s31,Movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",Unknown,2021-09-17,2021,TV-14,111 min,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021,September,Dramas,Unknown
s32,TV Show,chicago party aunt,unknown,"lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",Unknown,2021-09-17,2021,TV-MA,1 Season,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021,September,TV Comedies,Unknown
s33,TV Show,sex education,unknown,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie",United Kingdom,2021-09-17,2020,TV-MA,3 Seasons,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",2021,September,British TV Shows,GBR
s34,TV Show,squid game,unknown,"lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi",Unknown,2021-09-17,2021,TV-MA,1 Season,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021,September,International TV Shows,Unknown
s35,TV Show,tayo and little wizards,unknown,"dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim",Unknown,2021-09-17,2020,TV-Y7,1 Season,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,2021,September,Kids' TV,Unknown
s36,Movie,the father who moves mountains,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",Unknown,2021-09-17,2021,TV-MA,110 min,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021,September,Dramas,Unknown
s37,Movie,the stronghold,cédric jimenez,"gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot",Unknown,2021-09-17,2021,TV-MA,105 min,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021,September,Action & Adventure,Unknown
s38,TV Show,angry birds,unknown,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",Finland,2021-09-16,2018,TV-Y7,1 Season,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",2021,September,Kids' TV,FIN
s39,Movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia",China,2021-09-16,2017,PG-13,96 min,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021,September,Action & Adventure,CHN
s40,TV Show,chhota bheem,unknown,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",India,2021-09-16,2021,TV-Y7,3 Seasons,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",2021,September,Kids' TV,IND
s41,TV Show,he-man and the masters of the universe,unknown,"yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore",United States,2021-09-16,2021,TV-Y7,1 Season,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,2021,September,Kids' TV,USA
s42,Movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",United States,2021-09-16,1975,PG,124 min,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021,September,Action & Adventure,USA
s43,Movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",United States,2021-09-16,1978,PG,116 min,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021,September,Dramas,USA
s44,Movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",United States,2021-09-16,1983,PG,98 min,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021,September,Action & Adventure,USA
s45,Movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",United States,2021-09-16,1987,PG-13,91 min,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021,September,Action & Adventure,USA
s46,Movie,my heroes were cowboys,tyler greco,unknown,Unknown,2021-09-16,2021,PG,23 min,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",2021,September,Documentaries,Unknown
s47,Movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman",South Africa,2021-09-16,2012,R,115 min,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021,September,Action & Adventure,ZAF
s48,TV Show,the smart money woman,bunmi ajakaiye,"osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",Unknown,2021-09-16,2020,TV-MA,1 Season,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021,September,International TV Shows,Unknown
s49,Movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",United States,2021-09-16,2001,R,122 min,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021,September,Dramas,USA
s50,TV Show,castle and castle,unknown,"richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",Nigeria,2021-09-15,2021,TV-MA,2 Seasons,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2021,September,International TV Shows,NGA
s51,TV Show,dharmakshetra,unknown,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",India,2021-09-15,2014,TV-PG,1 Season,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",2021,September,International TV Shows,IND
s52,Movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",Japan,2021-09-15,2002,TV-14,99 min,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021,September,Action & Adventure,JPN
s53,Movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",Japan,2021-09-15,2003,TV-14,99 min,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021,September,Action & Adventure,JPN
s54,Movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",Japan,2021-09-15,2004,TV-PG,88 min,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",2021,September,Action & Adventure,JPN
s55,Movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",Japan,2021-09-15,2001,TV-PG,100 min,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",2021,September,Action & Adventure,JPN
s56,TV Show,nailed it,unknown,"nicole byer, jacques torres",United States,2021-09-15,2021,TV-PG,6 Seasons,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",2021,September,Reality TV,USA
s57,Movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",Japan,2021-09-15,2011,TV-14,102 min,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",2021,September,Action & Adventure,JPN
s58,Movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",Japan,2021-09-15,2008,TV-PG,93 min,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",2021,September,Action & Adventure,JPN
s59,Movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",Japan,2021-09-15,2009,TV-PG,96 min,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",2021,September,Action & Adventure,JPN
s60,Movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",Japan,2021-09-15,2007,TV-PG,95 min,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",2021,September,Action & Adventure,JPN
s61,Movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",Japan,2021-09-15,2010,TV-14,85 min,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",2021,September,Action & Adventure,JPN
s62,Movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",Japan,2021-09-15,2005,TV-PG,97 min,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",2021,September,Action & Adventure,JPN
s63,Movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",Japan,2021-09-15,2006,TV-PG,95 min,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",2021,September,Action & Adventure,JPN
s64,Movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",Japan,2021-09-15,2004,TV-PG,83 min,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",2021,September,Action & Adventure,JPN
s65,Movie,nightbooks,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",Unknown,2021-09-15,2021,TV-PG,103 min,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,2021,September,Children & Family Movies,Unknown
s66,TV Show,numberblocks,unknown,"beth chalmers, david holt, marcel mccalla, teresa gallagher",United Kingdom,2021-09-15,2021,TV-Y,6 Seasons,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",2021,September,Kids' TV,GBR
s67,TV Show,raja rasoi aur anya kahaniyan,unknown,unknown,India,2021-09-15,2014,TV-G,1 Season,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",2021,September,Docuseries,IND
s68,TV Show,saved by the bell,unknown,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",United States,2021-09-15,1994,TV-PG,9 Seasons,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",2021,September,Kids' TV,USA
s69,Movie,schumacher,"hanns-bruno kammertöns, vanessa nöcker, michael wech",michael schumacher,Unknown,2021-09-15,2021,TV-14,113 min,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,September,Documentaries,Unknown
s70,TV Show,stories by rabindranath tagore,unknown,unknown,India,2021-09-15,2015,TV-PG,1 Season,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,2021,September,International TV Shows,IND
s71,TV Show,too hot to handle: latino,unknown,itatí cantoral,Unknown,2021-09-15,2021,TV-MA,1 Season,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021,September,International TV Shows,Unknown
s72,Movie,a storybots space adventure,david a. vargas,"evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux",Unknown,2021-09-14,2021,TV-Y,13 min,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,2021,September,Children & Family Movies,Unknown
s73,TV Show,jack whitehall: travels with my father,unknown,"jack whitehall, michael whitehall",United Kingdom,2021-09-14,2021,TV-MA,5 Seasons,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",2021,September,British TV Shows,GBR
s74,Movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",Nigeria,2021-09-14,2018,TV-MA,182 min,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",2021,September,Dramas,NGA
s75,TV Show,the world's most amazing vacation rentals,unknown,unknown,Unknown,2021-09-14,2021,TV-PG,2 Seasons,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",2021,September,Reality TV,Unknown
s76,Movie,you vs. wild: out cold,ben simms,"bear grylls, jason derek prempeh",Unknown,2021-09-14,2021,TV-G,106 min,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",2021,September,Children & Family Movies,Unknown
s77,TV Show,yowamushi pedal,unknown,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",Japan,2021-09-14,2013,TV-14,1 Season,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",2021,September,Anime Series,JPN
s78,Movie,little singham - black shadow,prakash satam,"sumriddhi shukla, jigna bharadwaj, sonal kaushal, neshma chemburkar, ganesh divekar, annamaya verma, anamay verma, manoj pandey",Unknown,2021-09-11,2021,TV-Y7,48 min,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?,2021,September,Children & Family Movies,Unknown
